Review Title,DateandGroup,Description,Contributions,Compound,Positive,Neutral,Negative,Sentiment,Date,Group
Delicious!,Jun 2024 • Couples,Good food and friendly service! Portions are huge so expect to have leftovers if you don’t share. We would return for sure!,13 contributions,0.9097,0.442,0.558,0.0,Positive,Jun 2024,Couples
Worth the trip to Marco,Jun 2024 • Family,I ordered the Doreen’s Salad and it may have been the best salad I have ever had in my life. The blackened chicken was amazing. The garlic knots were mouth watering. We loved every meal we had there. We are back home and now I am craving this place. We were on the island 7 days and ate here 4 times. The only reason we didn’t go every day was because my daughter was embarrassed to go so much….,63 contributions,0.886,0.141,0.829,0.03,Positive,Jun 2024,Family
Average and Pricey,Jun 2024 • Family,"We ordered a Philly cheesesteak Stromboli, salad, and a large pizza. The Stromboli was huge and very good. I thought the pizza was below average. In my opinion, it was not worth the price it cost. Salad was well-received. The garlic knots aren’t as good as they used to be.",,0.7918,0.163,0.806,0.031,Positive,Jun 2024,Family
Top Notch!,Jun 2024 • Couples,"Best chicken finger sandwich (sub) outside of Buffalo. Service and delivery to a local hotel was exceptional & fast - they even included plates and napkins. Pizza, sub & salad were all top notch!",,0.7424,0.183,0.817,0.0,Positive,Jun 2024,Couples
Get the Sausage!!!,May 2024 • Couples,"No trip to Marco is complete for our family until we have a pizza from Joey's! We LOVE their pizza! They are generous with the toppings, and their crumbled sausage is soooo good! We highly recommend them!",147 contributions,0.9312,0.313,0.642,0.046,Positive,May 2024,Couples
Now that's Italian!,Apr 2024 • Family,"Decided to check this out - had a great table on the patio. Prompt service, and honestly some of the best Italian food that we have ever had! I had lasagna (huge!), and my wife had the Caprese salad. Very conveniently located right on ""Hotel row"".",11 contributions,0.9167,0.229,0.771,0.0,Positive,Apr 2024,Family
Over-priced us out of ever going back,Mar 2024 • Family,"We ordered two dishes for takeout from Joey’s; a large two topping pizza and penne alla vodka. The bill came to $52 which is way too much. They are price gouge the tourists. My family’s been coming here since 1950 and this makes me really angry. On top of it, the penne alla vodka was bland and overall disappointing. Arrivederci Joey!!",,-0.7441,0.031,0.858,0.111,Negative,Mar 2024,Family
Good plentiful food,Mar 2024 • Family,"Good food served in large portions with really good service too! Everyone, meat eaters and vegetarians too were very happy.",2 contributions,0.8854,0.379,0.621,0.0,Positive,Mar 2024,Family
Food Safety and Inexperienced Management,Mar 2024 • Family,WARNING: Don't go here if you have food allergy. Kitchen staff and management do not follow proper food safety precautions. Wait staff doesn't know what food items have allergens and management said they cannot control their kitchen.,,-0.0857,0.068,0.855,0.077,Negative,Mar 2024,Family
A must do for our family,Feb 2024 • Family,"We walk here from South Seas Towers, so that’s always a winner, but this place always nails it in terms of truly thin crust pizza with great options, a family style salad with garlic knots (wow), meatballs, great service and wines and….ok, we love it and consider it one of the best casual Italian spots in the country.",82 contributions,0.9877,0.391,0.609,0.0,Positive,Feb 2024,Family
Meant to try,Feb 2024 • Friends,"No complaints. We were looking for a restaurant when our Waze kept saying we arrived so we tried it. Great service and yummy food. Nice portions when we ordered the eggplant appetizer enough for 2, the eggplant parmesan, and spinach lasagna. And don’t forget the key lime pie!",144 contributions,0.6996,0.181,0.702,0.116,Positive,Feb 2024,Friends
Cold food terrible service,Feb 2024 • Family,Been there many times Ordered wine that took 40 mins to bring to the table Ordered a Stromboli that took 45 mins and was ice cold on the middle No manager came to apologize or try to make things right,16 contributions,-0.2023,0.034,0.911,0.054,Negative,Feb 2024,Family
Large quantities of terrible food,Dec 2023 • Family,"A busy family spot, with mediocre food they claim (incorrectly) is Italian. This place seems to be a clone of Vinny Testa's, a now-defunct Boston eatery famed for serving gargantuan quantities of terrible food. The white pizza we ordered had to be the worst pizza I've ever had. Kids pizza tasted like cardboard. Those who ordered pastas were happier, although the oversauced dishes looked unappetizing and somebody who ordered chicken later complained of a stomache ache. Only saving grace is the service was brisk and they have large tables for big groups. Ceasar salad was passable, barely. Avoid if possible.",,-0.6258,0.092,0.779,0.129,Negative,Dec 2023,Family
The worst,Dec 2023 • Friends,The worst pizza Sick every time eat there They now own Doreen’s and La mesa So bad we left our meals and walked out Avoid!!!!,1 contribution,-0.924,0.0,0.64,0.36,Negative,Dec 2023,Friends
DELICIOUS,Dec 2023 • Family,Absolutely divine. This place has the best Italian food ever( at least in Florida) highly recommend. Definitely coming back,3 contributions,0.9308,0.48,0.52,0.0,Positive,Dec 2023,Family
Enjoyed the pizza at Joey's,Oct 2023 • Couples,"Had the soup but was not hot and the waitress quickly attended to it. The pizza was delicious and they made it to our specs. We like cheese on top. Wanted crisp NY crust and it was exactly that. A small is really a large size, can't imagine the large. We brougt half home. It is noisy and more of a pub atmosphere. Sport screens at bar but tables around There is outdoor seating also.",23 contributions,0.8573,0.13,0.844,0.025,Positive,Oct 2023,Couples
Pizza Night,Oct 2023 • Family,The small pizza here is huge. The pizza has generous toppings. The salad was great. The ravioli was fantastic.,106 contributions,0.9231,0.47,0.53,0.0,Positive,Oct 2023,Family
Terrible Joey's Pizza and Pasta.,Oct 2023 • Family,"They say the prices are on the web site. I tried to order online. I could not. We had a 2"" deep pizza with 4 items and a bland chicken soup. It cost $49.00. Never spent so much for pizza. The food wasn't good. Dont waste your money !!!",,-0.6449,0.0,0.889,0.111,Negative,Oct 2023,Family
The best pizza!,Sept 2023 • Couples,"Large servings, great pizza, and fast service. Atmosphere is loud due to the bar area (the air the latest games) but all in all a great place to grab a bite. Try the penne Vida, delish!",,0.8588,0.21,0.79,0.0,Positive,Sept 2023,Couples
Great Italian restaurant,Sept 2023 • Couples,We had the Sicilian style pizza. 2” breaded crust. The large is Huge!!! The crust is very light and it us a lot if bread- so if that’s not your style they have two other options. The eggplant was wonderful. No heavy breading. Large portion. Garlic rolls are very good. Side salads are very k look are and good. Order dressing on side. Balsamic is very tart and heavy. Tiramisu some if the best ever.,39 contributions,0.9456,0.201,0.773,0.025,Positive,Sept 2023,Couples
Love the pizza!,Aug 2023 • Family,"We were on vacation in Marco, and decided on staying in for dinner, and pizza sounded great. If you go to their website, it said that they weren't taking online orders, so we were confused whether or not we could order carry out. We gave them a call, and they clarified that they would take phone orders, they just weren't doing online orders. We ordered a large pepperoni, pizza, and an order of the garlic knots. Pizza was delicious! We are normally thin crust fans, but went with the regular hand tossed style, and enjoyed it very much. The garlic knots had mixed reviews. They were definitely buttery and garlicky, but were very thick and doughy. Personally, it was a little overwhelming to me, and I wasn't a big fan, but the rest of the group enjoyed them. We will definitely order Joeys again!",805 contributions,0.9737,0.161,0.812,0.026,Positive,Aug 2023,Family
Joey’s way is the way,Jun 2023 • Family,"This is always in our rotation when we stay on Marco. The day we arrive we get it to-go and on our last night we eat at the restaurant. And if we stay long enough we get it in the idle of the trip as well. The Joeys way crust, which is thin and cut in squares, is the closest thing to Chicago tavern style that I’ve found on the island. We get pepperoni instead of sausage but I’ve had the sausage it definitely reminds me of the sausage I’d get in Chicago. I have noticed the prices have gone up significantly but that is just reality these days. I think a large thin crust pep is like $25 or $28. I’m addition to the pizza my wife is a big fan of the Caesar salad, really likes the dressing. Will typically get an extra one for the next day. I also like their take on key lime pie, a bit richer with some white chocolate mixed so not traditional but still good. It’s worth noting that when we went in mid June for an early dinner around 6, it’s pretty hot out and the sun is shining it does get pretty warm inside the restaurant. Like warm enough that you don’t want to hang around any longer than you have to. My wife actually said she was sweating. There is a lot of movement through the doors with the tables outside and people coming and going through the front door.",1360 contributions,0.9927,0.171,0.823,0.006,Positive,Jun 2023,Family
Good food a day nice atmosphere,Jun 2023 • Couples,Very nice restaurant with good food. Two different types of lasagna both are very good. Pizzas were expensive but looked good.,19 contributions,0.8315,0.366,0.634,0.0,Positive,Jun 2023,Couples
Good Food and efficient service,May 2023 • Family,On our first evening in Marco we choose Joeys and we weren’t disappointed as the food was very good and tasty whilst the service was efficient. Reccomend,605 contributions,0.4391,0.181,0.725,0.094,Positive,May 2023,Family
